disease,symptoms
lobular carcinoma of the breast,"breast pain, skin dimpling on breast, redness, swollen lymph nodes under the arm"
photokeratitis (snow blindness),"eyelid swelling, conjunctival congestion and edema, foreign body sensation, photophobia"
ventricular flutter and ventricular fibrillation,"cardiac arrest, ventricular fibrillation, pallor, seizures"
neonatal facial nerve palsy,"shallow nasolabial fold, drooping of the corner of the mouth, newborn, unable to frown, change in taste, eyelid weakness"
optic nerve tumor,"proptosis, gradual decline in vision, double vision, photophobia"
coma,"extremely reduced clarity of consciousness, no response to external stimuli, elevated blood pressure, sweating, abnormal posturing"
pediatric adenoid hypertrophy,"nasal congestion, child, snoring, mouth breathing, frequent ear infections"
multiple myeloma,"osteolytic lesions, diffuse osteoporosis, high calcium levels, kidney problems"
heat exhaustion,"nausea and vomiting, muscle cramps, pale skin, fatigue"
bladder distention,"lower abdominal pain, heart pain, nocturia, painful urination"
pyogenic granuloma,"skin swelling, localized redness, a shiny or wet surface, painful when pressed, tendency to recur after removal"
glaucoma caused by lens swelling,"deuteranopia, deuteranomaly, anterior chamber swelling, sudden visual disturbance, eye pain, headache, dizziness"
corpus luteum cysts,"pelvic pain, nausea, vomiting, breast tenderness"
pediatric proximal renal tubular acidosis,"increased frequency of urination, child, failure to thrive, muscle weakness, bone pain"
pediatric enteritis,"presence of mucus, pus, or blood in stools, coma, child, dark circles under the eyes, sunken eyeballs"
pharyngeal vascular malformation,"sensation of a foreign body in the throat, voice changes, slight cough, difficulty breathing when lying down"
acquired immune deficiency syndrome (aids),"fever, headache, sore throat, general malaise"
cervical spondylosis,"neck stiffness, cervical spine pain, loss of coordination, difficulty swallowing"
pemphigoid,"itching, papules, chronic eczematous changes, skin hyperpigmentation, blister formation, nail dystrophy, hair loss"
pediatric paroxysmal choreoathetosis,"involuntary twitching, peculiar postures, instability when standing, twisting of the limbs, child, difficulty swallowing, vision problems, excessive sweating"
chronic renal failure in the elderly,"anemia, elderly, dehydration, bradycardia, water retention"
cerebrohepatorenal syndrome,"periorbital edema, seizures, jaundice, hepatomegaly, child, sensorineural hearing loss, coagulopathy, metabolic acidosis"
breast hyperplasia,"breast pain, nipple discharge, redness around the nipple, itchy breasts, thickening of the breast skin"
esophageal varices,"vomiting blood, shock, abdominal pain, paleness, shortness of breath"
liver fire invading the lungs,"coughing fits, irritability and temper, bitter taste in the mouth, dark and scanty urine"
congenital ectodermal dysplasia syndrome in children,"underdeveloped fingernails, underdeveloped toenails, child, reduced sweat glands, underdeveloped tear glands"
wind-heat attacking the lung,"mild fever with slight chills, yellow nasal discharge, sore throat, nasal congestion"
dermatophytid,"bacterial infection, fungal infection, fever, pus discharge, malaise"
acute cervical disc herniation,"stiffness, limited movement, neck pain, insomnia"
dental trauma,"swollen gums, tooth loss, gum bleeding on brushing, sensitivity where the tooth was lost, feeling of tooth looseness before loss"
pterygium,"conjunctival congestion, visual impairment, burning sensation, sensitivity to light, increased tear production"
pharyngeal malignant tumor,"sensation of swallowing obstruction, reflex ear pain, altered taste, nasal congestion, headache"
epidermodysplasia verruciformis,"papules, intellectual developmental delay, flat warts, abnormal skin pigmentation, reduced sweating"
cholangitis,"upper abdominal pain, mild fever, dark urine, pruritus"
tuberous sclerosis complex (tsc) in children,"cognitive impairments, hydrocephalus, child, dementia, vascular malformations"
free-living amebic infection,"fever, coma, vomiting, delirium"
quadriceps tendon rupture,"inability to extend the knee, a popping sensation at the time of injury, tenderness above the patella, mild swelling around the knee"
tendonitis and tenosynovitis,"joint pain, swelling, redness, warmth in the affected area"
arthritis,"joint pain, joint swelling, limited mobility, deformity, fatigue, loss of appetite, fever, weight loss"
turcot syndrome,"hematochezia, abdominal discomfort, diarrhea, anemia"
colonic angiodysplasia,"melena, elderly, pallor, shortness of breath, fatigue"
brainstem tumor,"headaches, dizziness, facial numbness, dysphagia with choking, paralysis and atrophy of the tongue muscles, decreased muscle strength"
adenomyosis,"dysmenorrhea, menstrual disorder, female, nausea, urinary frequency, pain during intercourse"
transient ischemic attack (tia),"sensory disturbances, memory loss, dysphagia, vertigo"
congenital short bowel syndrome,"rectal and anal stenosis, poor development of the colon vasculature, child, anemia, fatigue, failure to thrive"
neurosis,"panic attacks, headache, irritability, feelings of incapacity"
onychomycosis,"nail plate detachment, discoloration, uneven surface, brittleness"
congenital colonic atresia and stenosis,"intestinal stenosis, abdominal distension, intestinal obstruction, difficulty defecating, newborn, borborygmus, polyhydramnios"
helminthiasis,"weight loss, diarrhea, muscle aches, insomnia"
facial liposuction,"unbalanced facial contours due to localized fat deposits, restricted facial expressions, discomfort in social settings, increased self-consciousness"
incompetence of perforating veins in lower limbs,"ulcers, eczema, subcutaneous tissue scleroma, trophic changes of the skin, restless legs, varicose veins, ankle swelling, decreased hair growth on legs and feet"
congenital arteriovenous fistula,"vascular murmur, difficulty breathing, chronic venous insufficiency, edema"
allergic vasculitis,"palpable purpura, erythema, pustules, fever"
pediatric testicular torsion,"swelling, child, male, dizziness, low-grade fever, frequent urination"
hemifacial spasm,"eyelid spasms, mild irritability, occasional deviation of the mouth, subtle facial twitching"
thrombocytopenia,"epistaxis, bleeding tendency, hiv infection, joint pain"
renal pelvis cancer,"flank pain, loss of appetite, nausea, unintended weight loss"
warm autoimmune hemolytic anemia (waiha),"dizziness, anemia, restlessness, headache"
carotid-cavernous fistula (direct),"double vision, eye bulging, tinnitus, a whooshing sound in the ear"
hangover,"headache, sensitivity to light, dehydration, fatigue"
gestational diabetes mellitus,"repeated positive urine glucose tests during pregnancy, female, frequent urination, increased thirst, fatigue"
pediatric fat malabsorption,"lethargy, irritability, child, poor concentration, sleep disturbances"
gastric diaphragm,"abdominal pain, bloating, heartburn, loss of appetite"
oral and maxillofacial soft tissue injury,"lymphatic rupture, mild bleeding, swelling around the injury, localized pain"
urinary tuberculosis,"frequent urination, urgent urination, weight loss, fatigue"
non-paroxysmal sinus tachycardia,"palpitations, dizziness, hypotension, fatigue"
pediatric budd-chiari syndrome,"abdominal pain, ascites, child, anemia, spider angiomas"
phlegm-heat syndrome,"foul breath, dry mouth, yellow tongue coating, taut pulse"
iatrogenic bile duct injury,"jaundice, nausea, chills, weight loss, clay-colored stools"
ischemic hepatitis,"jaundice, positive hepatitis b e antigen (hbeag), massive hepatic necrosis, pain in the upper right abdomen, increased gluconeogenesis, tense liver capsule, loss of appetite"
dermatochalasis,"occult pain, difficulty with vision, sensitivity to light, eyelid drooping"
pharyngeal pouch,"halitosis, elderly, sore throat, neck swelling, hoarseness"
pediatric exogenous allergic alveolitis,"dyspnea, child, fever, general malaise, weight loss"
pigmented purpuric dermatosis,"edema, brownish-pink discoloration, itching, fatigue"
social anxiety disorder,"trembling hands, excessive sweating, difficulty speaking, heart palpitations"
diabetic neuropathy,"erectile dysfunction, gastrointestinal dysfunctions, bladder disorders, fatigue"
meibomian gland carcinoma,"yellow nodules can be seen on the conjunctival surface, cauliflower-like tumors that bleed easily upon touch, pain around the eye, eyelash loss"
malignant pericardial effusion in the elderly,"pericardial effusion, cardiac tamponade, elderly, anxiety, sharp chest pain, dizziness"
burning pain,"sensation of burn, preference for cold, tingling sensations, anxiety, night sweats"
pregnancy,"fatigue, female, breast tenderness, mood swings, cravings for certain foods"
febrile convulsions,"fever, strabismus, loss of consciousness, upward rolling of the eyes, child, crying, refusal to eat, sleep disturbances"
colonic escherichia coli gastroenteritis,"diarrhea, bloating, abdominal discomfort, dehydration"
glaucoma secondary to penetrating keratoplasty,"eye pain, vision disorders, headache, nausea"
malignant bone tumor,"nocturnal pain, fever, weight loss, increased pain with activity, stiffness in the affected area, swelling, limp"
vulvar basal cell carcinoma,"vulvar itching, ulcers, female, bleeding not related to the menstrual cycle, changes in vulvar skin color, thickened skin patches"
polymorphic light eruption,"polymorphic erythema, pruritus, female, fatigue, headache, skin dryness"
intrahepatic cholangiolithiasis,"intermittent right upper quadrant pain, mild fever, nausea, fatigue"
acute lumbar sprain,"pain, forced posture, limited mobility, muscle spasm, numbness in the extremities, sharp pain when sneezing or coughing, stiffness in the morning"
purulent mastitis,"fever, localized breast pain, lumps, formation of breast fistula abscesses, loss of appetite, nausea, fatigue"
necrotizing fasciitis,"stabbing pain, joint or near-joint tenderness, low blood pressure, fast heart rate, nausea"
pediatric diabetic nephropathy,"high blood pressure, child, fatigue, headaches, difficulty concentrating"
neonatal sclerema,"subcutaneous nodules, decreased neonatal responsiveness, newborn, skin hardening, rigid neck"
esophageal dysphagia due to compression,"difficulty swallowing, vomiting, coughing at night, aspiration, chest discomfort"
